0.0;61;38;99;0.9159837291380033;1.0722608695652174;0.5961739130434781
0.1;69;23;92;1.0;1.2050925925925926;0.33851851851851855
0.2;73;15;88;0.9466956758226817;1.2802884615384615;0.1985576923076923
0.3;76;9;85;0.8154496541122213;1.3189108910891092;0.11089108910891088
0.4;76;8;84;0.7871536523929471;1.3301000000000003;0.09880000000000001
0.5;78;5;83;0.6854493580599146;1.368585858585859;0.04424242424242423
0.6;81;0;81;0.5;1.4026605504587155;0.0
0.7;81;0;81;0.5;1.3953535353535356;0.0
0.8;81;0;81;0.5;1.3895789473684212;0
0.9;81;0;81;0.5;1.3895789473684212;0
1.0;81;0;81;0.5;1.3895789473684212;0
