0.0;128;92;220;0.9982921314023092;2.5159388646288208;1.7015720524017466
0.1;142;65;207;0.9678841541572449;2.8049074074074074;1.1689814814814814
0.2;152;45;197;0.8728055060091688;3.009320388349515;0.7773300970873788
0.3;157;34;191;0.7956317204619079;3.11605;0.5628
0.4;161;27;188;0.7381588831456886;3.1763959390862944;0.445482233502538
0.5;161;27;188;0.7381588831456886;3.1763959390862944;0.445482233502538
0.6;166;17;183;0.6511570414485821;3.2744500000000003;0.22030000000000002
0.7;168;13;181;0.6153727491417219;3.2998514851485146;0.17257425742574256
0.8;170;10;180;0.5882065695647258;3.3213930348258702;0.13676616915422884
0.9;171;8;179;0.5703553299492385;3.3377499999999998;0.1059
1.0;172;6;178;0.5525758470726962;3.3631282051282048;0.09435897435897435
