timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
268.0;4.709106542899407; app_1 done;3.73;0.0;1
496.0;5.0; app_1 done;4.03;0.0;1
724.0;5.0; app_1 done;4.14;0.0;1
951.0;5.0; app_1 done;4.21;0.0;1
1179.0;5.0; app_1 done;4.24;0.0;1
1407.0;5.0; app_1 done;4.26;0.0;1
1635.0;5.0; app_1 done;4.28;0.0;1
1863.0;5.0; app_1 done;4.29;0.0;1
2091.0;5.0; app_1 done;4.3;0.0;1
2319.0;5.0; app_1 done;4.31;0.0;1
2547.0;5.0; app_2 ON;3.93;0.0;2
2547.0;5.0;VOn= 3.86;3.93;0.0;2
2547.0;5.0; app_1 done;4.32;0.0;2
2776.0;5.0; app_1 done;4.32;0.0;2
3004.0;5.0; app_1 done;4.33;0.0;2
3232.0;5.0; app_1 done;4.33;0.0;2
3460.0;5.0; app_1 done;4.34;0.0;2
3688.0;5.0; app_1 done;4.34;0.0;2
3916.0;5.0; app_1 done;4.34;0.0;2
4143.0;5.0; app_1 done;4.34;0.0;2
4371.0;5.0; app_1 done;4.35;0.0;2
4599.0;5.0; app_1 done;4.35;0.0;2
4827.0;5.0; app_1 done;4.35;0.0;2
5055.0;5.0; app_1 done;4.35;0.0;2
5169.0;5.0; app_2 done;4.26;0.19;2
5398.0;5.0; app_1 done;4.26;0.19;2
5626.0;5.0; app_1 done;4.27;0.18;2
5854.0;5.0; app_1 done;4.27;0.17;2
6081.0;5.0; app_1 done;4.28;0.16;2
6309.0;4.782415806674066; app_1 done;4.28;0.16;2
6537.0;4.759891183962775; app_1 done;4.28;0.15;2
6765.0;4.3276968605632335; app_1 done;4.29;0.15;2
6993.0;4.634058154311588; app_1 done;4.29;0.14;2
7222.0;4.290587759578354; app_1 done;4.29;0.14;2
7450.0;4.265685826965149; app_1 done;4.3;0.13;2
7679.0;3.711433341080703; app_1 done;4.3;0.13;2
7792.0;3.790342220796136; app_2 done;4.24;0.26;2
8021.0;3.635856202533176; app_1 done;4.24;0.25;2
8249.0;3.5465657098804906; app_1 done;4.24;0.24;2
8477.0;3.6390121427819384; app_1 done;4.25;0.24;2
8704.0;3.8691872829664353; app_1 done;4.25;0.23;2
8932.0;4.111504300515509; app_1 done;4.25;0.22;2
9160.0;4.291705476314611; app_1 done;4.26;0.22;2
9388.0;3.6481694412469756; app_1 done;4.26;0.21;2
9616.0;3.312670160189264; app_1 done;4.26;0.21;2
9844.0;3.2759502969693335; app_1 done;4.27;0.2;2
10073.0;3.5021908378245192; app_1 done;4.27;0.2;2
10301.0;3.920886579824803; app_1 done;4.27;0.19;2
10415.0;4.040330385540076; app_2 done;4.22;0.29;2
10644.0;4.4059200259550675; app_1 done;4.23;0.28;2
10871.0;4.5417707747044265; app_1 done;4.23;0.28;2
11099.0;4.508589171746744; app_1 done;4.23;0.27;2
11327.0;5.0; app_1 done;4.24;0.26;2
11555.0;5.0; app_1 done;4.24;0.26;2
11783.0;5.0; app_1 done;4.24;0.25;2
12011.0;4.878469014675153; app_1 done;4.25;0.25;2
12240.0;5.0; app_1 done;4.25;0.25;2
12468.0;5.0; app_1 done;4.25;0.24;2
12697.0;5.0; app_1 done;4.25;0.24;2
12926.0;5.0; app_1 done;4.25;0.23;2
13040.0;5.0; app_2 done;4.22;0.31;2
13269.0;5.0; app_1 done;4.22;0.3;2
13497.0;5.0; app_1 done;4.22;0.3;2
13725.0;5.0; app_1 done;4.23;0.29;2
13953.0;5.0; app_1 done;4.23;0.29;2
14181.0;5.0; app_1 done;4.23;0.28;2
14409.0;4.900499323232603; app_1 done;4.23;0.28;2
14636.0;4.591009442917524; app_1 done;4.24;0.27;2
14865.0;4.836344852923654; app_1 done;4.24;0.27;2
15094.0;5.0; app_1 done;4.24;0.27;2
15322.0;5.0; app_1 done;4.24;0.26;2
15551.0;5.0; app_1 done;4.24;0.26;2
15665.0;5.0; app_2 done;4.21;0.32;2
15894.0;5.0; app_1 done;4.22;0.31;2
16122.0;5.0; app_1 done;4.22;0.31;2
16350.0;5.0; app_1 done;4.22;0.31;2
16578.0;5.0; app_1 done;4.22;0.3;2
16806.0;5.0; app_1 done;4.22;0.3;2
17034.0;5.0; app_1 done;4.23;0.29;2
17262.0;5.0; app_1 done;4.23;0.29;2
17491.0;5.0; app_1 done;4.23;0.29;2
17719.0;5.0; app_1 done;4.23;0.28;2
17948.0;5.0; app_1 done;4.23;0.28;2
18177.0;5.0; app_1 done;4.24;0.28;2
18290.0;5.0; app_2 done;4.21;0.33;2
18519.0;5.0; app_1 done;4.21;0.32;2
18748.0;5.0; app_1 done;4.21;0.32;2
18976.0;5.0; app_1 done;4.22;0.32;2
19204.0;5.0; app_1 done;4.22;0.31;2
19432.0;5.0; app_1 done;4.22;0.31;2
19660.0;5.0; app_1 done;4.22;0.31;2
19887.0;4.883308195675908; app_1 done;4.22;0.3;2
20116.0;3.7580858920594697; app_1 done;4.23;0.3;2
20344.0;3.1960591199744717; app_1 done;4.23;0.29;2
20572.0;2.818308402040973; app_1 done;4.23;0.29;2
