0.0;159;118;277;0.8737524651885497;3.178928571428572;2.2551428571428573
0.1;175;86;261;0.9645587463601848;3.524318181818182;1.6087121212121214
0.2;188;61;249;0.9998184010576322;3.777222222222223;1.1152380952380951
0.3;195;47;242;0.9748212620453839;3.9168571428571433;0.8427755102040815
0.4;200;38;238;0.9302211487659444;4.004854771784232;0.6707468879668049
0.5;203;32;235;0.8864749628160635;4.06529411764706;0.5526890756302522
0.6;205;28;233;0.8508485972168457;4.1092796610169495;0.4667796610169492
0.7;207;24;231;0.8102866779089377;4.1418376068376075;0.40123931623931625
0.8;208;22;230;0.7882822343553129;4.167167381974249;0.34995708154506433
0.9;209;19;228;0.7538461538461538;4.187705627705627;0.3085281385281386
1.0;209;18;227;0.7422044337618301;4.204478260869565;0.27486956521739137
